mode,ix,iy,I_input,J,a,b,C,h,X,Y,Z,rgb_r,rgb_g,rgb_b,rgb_r_clamped,rgb_g_clamped,rgb_b_clamped,is_out_of_gamut
Iab,0,0,60.000000000000,59.934106918948,-4.800000000000,4.800000000000,6.788225099391,135.000000000000,27.656051635742,30.682064056396,29.581796646118,0.563024163246,0.601099073887,0.552160680294,0.563024163246,0.601099073887,0.552160680294,false
Iab,1,0,60.000000000000,59.934106918948,-2.400000000000,4.800000000000,5.366563145999,116.565051177078,28.190912246704,30.562561035156,29.581773757935,0.580492258072,0.594708144665,0.552675962448,0.580492258072,0.594708144665,0.552675962448,false
Iab,2,0,60.000000000000,59.934106918948,0.000000000000,4.800000000000,4.800000000000,90.000000000000,28.703216552734,30.447820663452,29.544033050537,0.596781551838,0.588484704494,0.552790284157,0.596781551838,0.588484704494,0.552790284157,false
Iab,3,0,60.000000000000,59.934106918948,2.400000000000,4.800000000000,5.366563145999,63.434948822922,29.211153030396,30.333417892456,29.454751968384,0.612611889839,0.582200109959,0.552383065224,0.612611889839,0.582200109959,0.552383065224,false
Iab,4,0,60.000000000000,59.934106918948,4.800000000000,4.800000000000,6.788225099391,45.000000000000,29.734430313110,30.215320587158,29.323377609253,0.628550171852,0.575614809990,0.551566421986,0.628550171852,0.575614809990,0.551566421986,false
Iab,0,1,60.000000000000,59.934106918948,-4.800000000000,2.400000000000,5.366563145999,153.434948822922,27.810588836670,30.697229385376,31.455961227417,0.558757603168,0.600727498531,0.570693016052,0.558757603168,0.600727498531,0.570693016052,false
Iab,1,1,60.000000000000,59.934106918948,-2.400000000000,2.400000000000,3.394112549695,135.000000000000,28.337629318237,30.578624725342,31.434480667114,0.576245725155,0.594404041767,0.570974409580,0.576245725155,0.594404041767,0.570974409580,false
Iab,2,1,60.000000000000,59.934106918948,0.000000000000,2.400000000000,2.400000000000,90.000000000000,28.836645126343,30.466434478760,31.392925262451,0.592291414738,0.588330268860,0.571035802364,0.592291414738,0.588330268860,0.571035802364,false
Iab,3,1,60.000000000000,59.934106918948,2.400000000000,2.400000000000,3.394112549695,45.000000000000,29.331558227539,30.354616165161,31.306266784668,0.607871413231,0.582200169563,0.570658981800,0.607871413231,0.582200169563,0.570658981800,false
Iab,4,1,60.000000000000,59.934106918948,4.800000000000,2.400000000000,5.366563145999,26.565051177078,29.849454879761,30.237760543823,31.193172454834,0.623733103275,0.575689911842,0.570047378540,0.623733103275,0.575689911842,0.570047378540,false
Iab,0,2,60.000000000000,59.934106918948,-4.800000000000,0.000000000000,4.800000000000,180.000000000000,27.961456298828,30.714426040649,33.326957702637,0.554321706295,0.600417613983,0.588452279568,0.554321706295,0.600417613983,0.588452279568,false
Iab,1,2,60.000000000000,59.934106918948,-2.400000000000,0.000000000000,2.400000000000,180.000000000000,28.483512878418,30.595333099365,33.257396697998,0.572060406208,0.594106495380,0.588274896145,0.572060406208,0.594106495380,0.588274896145,false
Iab,2,2,60.000000000000,59.934106918948,0.000000000000,0.000000000000,0.000000000000,0.000000000000,28.974185943604,30.484052658081,33.191986083984,0.588106393814,0.588106215000,0.588106632233,0.588106393814,0.588106215000,0.588106632233,false
Iab,3,2,60.000000000000,59.934106918948,2.400000000000,0.000000000000,2.400000000000,0.000000000000,29.464160919189,30.373590469360,33.126663208008,0.603580296040,0.582046270370,0.587937295437,0.603580296040,0.582046270370,0.587937295437,false
Iab,4,2,60.000000000000,59.934106918948,4.800000000000,0.000000000000,4.800000000000,0.000000000000,29.983905792236,30.257123947144,33.057327270508,0.619447708130,0.575540542603,0.587755918503,0.619447708130,0.575540542603,0.587755918503,false
Iab,0,3,60.000000000000,59.934106918948,-4.800000000000,-2.400000000000,5.366563145999,206.565051177078,28.110107421875,30.735130310059,35.261867523193,0.549414336681,0.600205004215,0.606115221977,0.549414336681,0.600205004215,0.606115221977,false
Iab,1,3,60.000000000000,59.934106918948,-2.400000000000,-2.400000000000,3.394112549695,225.000000000000,28.628850936890,30.614986419678,35.140838623047,0.567500233650,0.593883156776,0.605484127998,0.567500233650,0.593883156776,0.605484127998,false
Iab,2,3,60.000000000000,59.934106918948,0.000000000000,-2.400000000000,2.400000000000,270.000000000000,29.123422622681,30.501785278320,35.048423767090,0.583963751793,0.587805151939,0.605085194111,0.583963751793,0.587805151939,0.605085194111,false
Iab,3,3,60.000000000000,59.934106918948,2.400000000000,-2.400000000000,3.394112549695,315.000000000000,29.621234893799,30.389865875244,35.004207611084,0.599721014500,0.581656932831,0.605117321014,0.599721014500,0.581656932831,0.605117321014,false
Iab,4,3,60.000000000000,59.934106918948,4.800000000000,-2.400000000000,5.366563145999,333.434948822922,30.145709991455,30.273305892944,34.981376647949,0.615651905537,0.575120031834,0.605361521244,0.615651905537,0.575120031834,0.605361521244,false
Iab,0,4,60.000000000000,59.934106918948,-4.800000000000,-4.800000000000,6.788225099391,225.000000000000,28.266492843628,30.759313583374,37.336124420166,0.543967664242,0.600033521652,0.624339580536,0.543967664242,0.600033521652,0.624339580536,false
Iab,1,4,60.000000000000,59.934106918948,-2.400000000000,-4.800000000000,5.366563145999,243.434948822922,28.788528442383,30.637184143066,37.185722351074,0.562540054321,0.593638718128,0.623483657837,0.562540054321,0.593638718128,0.623483657837,false
Iab,2,4,60.000000000000,59.934106918948,0.000000000000,-4.800000000000,4.800000000000,270.000000000000,29.294860839844,30.520729064941,37.083927154541,0.579611361027,0.587399959564,0.623029291630,0.579611361027,0.587399959564,0.623029291630,false
