I,J,ix,iy,a,b,C,h,X,Y,Z,rgb_r,rgb_g,rgb_b,is_out_of_gamut
75.000000000000,74.953602544082,0,0,-4.800000000000,4.800000000000,6.788225099391,135.000000000000,46.905769348145,51.486564636230,50.886024475098,0.718547701836,0.756305277348,0.707701206207,false
75.000000000000,74.953602544082,1,0,-2.400000000000,4.800000000000,5.366563145999,116.565051177078,47.624408721924,51.326137542725,50.885982513428,0.735759079456,0.749936640263,0.708204150200,false
75.000000000000,74.953602544082,2,0,0.000000000000,4.800000000000,4.800000000000,90.000000000000,48.312812805176,51.171852111816,50.834571838379,0.751938164234,0.743747830391,0.708310842514,false
75.000000000000,74.953602544082,3,0,2.400000000000,4.800000000000,5.366563145999,63.434948822922,48.995368957520,51.017803192139,50.712905883789,0.767773270607,0.737512052059,0.707901179790,false
75.000000000000,74.953602544082,4,0,4.800000000000,4.800000000000,6.788225099391,45.000000000000,49.698604583740,50.858516693115,50.533794403076,0.783821523190,0.730992794037,0.707085788250,false
75.000000000000,74.953602544082,0,1,-4.800000000000,2.400000000000,5.366563145999,153.434948822922,47.118522644043,51.506847381592,53.429908752441,0.714391946793,0.755908608437,0.726063370705,false
75.000000000000,74.953602544082,1,1,-2.400000000000,2.400000000000,3.394112549695,135.000000000000,47.826625823975,51.347698211670,53.400863647461,0.731586635113,0.749608814716,0.726338982582,false
75.000000000000,74.953602544082,2,1,0.000000000000,2.400000000000,2.400000000000,90.000000000000,48.497219085693,51.196914672852,53.344642639160,0.747491896152,0.743569910526,0.726396799088,false
75.000000000000,74.953602544082,3,1,2.400000000000,2.400000000000,3.394112549695,45.000000000000,49.162445068359,51.046436309814,53.227397918701,0.763046503067,0.737487554550,0.726020336151,false
75.000000000000,74.953602544082,4,1,4.800000000000,2.400000000000,5.366563145999,26.565051177078,49.858722686768,50.888912200928,53.074321746826,0.778988182545,0.731041908264,0.725410878658,false
75.000000000000,74.953602544082,0,2,-4.800000000000,0.000000000000,4.800000000000,180.000000000000,47.322784423828,51.529830932617,55.951999664307,0.710061073303,0.755590498447,0.743684113026,false
75.000000000000,74.953602544082,1,2,-2.400000000000,0.000000000000,2.400000000000,180.000000000000,48.024211883545,51.370090484619,55.858528137207,0.727464735508,0.749304473400,0.743507564068,false
75.000000000000,74.953602544082,2,2,0.000000000000,0.000000000000,0.000000000000,0.000000000000,48.683673858643,51.220626831055,55.770610809326,0.743339836597,0.743339896202,0.743340253830,false
75.000000000000,74.953602544082,3,2,2.400000000000,0.000000000000,2.400000000000,0.000000000000,49.342399597168,51.072036743164,55.682781219482,0.758760988712,0.737327694893,0.743172109127,false
75.000000000000,74.953602544082,4,2,4.800000000000,0.000000000000,4.800000000000,0.000000000000,50.041332244873,50.915126800537,55.589565277100,0.774681091309,0.730887234211,0.742992520332,false
75.000000000000,74.953602544082,0,3,-4.800000000000,-2.400000000000,5.366563145999,206.565051177078,47.520679473877,51.557468414307,58.543331146240,0.705262541771,0.755385220051,0.761229574680,false
75.000000000000,74.953602544082,1,3,-2.400000000000,-2.400000000000,3.394112549695,225.000000000000,48.217842102051,51.396423339844,58.381713867188,0.722965240479,0.749089598656,0.760604560375,false
75.000000000000,74.953602544082,2,3,0.000000000000,-2.400000000000,2.400000000000,270.000000000000,48.882720947266,51.244438171387,58.258270263672,0.739222049713,0.743048310280,0.760210514069,false
75.000000000000,74.953602544082,3,3,2.400000000000,-2.400000000000,3.394112549695,315.000000000000,49.552005767822,51.093959808350,58.199192047119,0.754897713661,0.736950397491,0.760245084763,false
75.000000000000,74.953602544082,4,3,4.800000000000,-2.400000000000,5.366563145999,333.434948822922,50.257347106934,50.937015533447,58.168689727783,0.770857095718,0.730481266975,0.760491073132,false
75.000000000000,74.953602544082,0,4,-4.800000000000,-4.800000000000,6.788225099391,225.000000000000,47.725250244141,51.589752197266,61.303722381592,0.699931323528,0.755238890648,0.779350936413,false
75.000000000000,74.953602544082,1,4,-2.400000000000,-4.800000000000,5.366563145999,243.434948822922,48.427146911621,51.426124572754,61.104141235352,0.718064308167,0.748870849609,0.778504371643,false
75.000000000000,74.953602544082,2,4,0.000000000000,-4.800000000000,4.800000000000,270.000000000000,49.107978820801,51.269859313965,60.969024658203,0.734884619713,0.742671310902,0.778057396412,false
75.000000000000,74.953602544082,3,4,2.400000000000,-4.800000000000,5.366563145999,296.565051177078,49.794601440430,51.115261077881,60.912017822266,0.751072168350,0.736408710480,0.778115391731,false
75.000000000000,74.953602544082,4,4,4.800000000000,-4.800000000000,6.788225099391,315.000000000000,50.510799407959,50.956439971924,60.911983489990,0.767277777195,0.729848265648,0.778557062149,false
