3.718090146648278527e-01,3.217619816100882324e-01,1.922476439775980817e-01
3.443467929399122163e-01,2.987818595576256508e-01,1.759646469731173390e-01
2.713908836310339190e-01,2.332736099782440897e-01,1.380669274474776997e-01
1.385094342414440183e-01,1.161763071874556269e-01,6.066010351454159677e-02
3.895607964868810225e-01,2.978449152016909296e-01,2.106505713559141124e-01
2.301648306828424917e-01,1.665596620193289801e-01,5.684453032547815560e-02
3.489852250678122658e-01,2.773101668696087985e-01,5.099099067292961474e-02
4.684102796143697067e-01,4.148030166005247099e-01,7.370734613202091501e-02
4.883867412900831373e-01,4.684796026258603030e-01,6.124820737262654663e-02
3.371978739916851597e-01,4.111820675161044214e-01,9.673614920231987657e-02
1.781091346497063743e-01,2.131586623181228046e-01,8.010131986203247734e-02
1.106439823173910597e-01,1.513251702193895154e-01,6.016184412190196673e-02
3.085337251321347840e-01,3.940762977264540834e-01,3.629719836028323376e-01
3.018151440090883209e-01,3.385969561677285578e-01,6.194295555455077151e-01
2.083799713088761718e-01,2.063728857161608865e-01,4.610090577972547066e-01
1.624128608429157017e-01,1.338034952560978041e-01,3.071039400026699395e-01
1.002981798023348248e-01,7.653214079074045773e-02,1.512950146220081171e-01
1.187330213936015344e-01,8.188530610879428406e-02,1.189872919224189696e-01
2.044211262401244567e-01,1.245392806101517924e-01,4.904132960810226455e-02
5.501988954089399586e-01,5.568548954771075365e-01,1.051528575502413965e-01
1.182373171157495989e-01,1.832533591974691012e-01,1.196546993008590215e-01
1.023213241510934207e-01,8.343202046344923295e-02,2.792661181930403691e-01
2.964202599215642331e-01,1.984688531057509919e-01,2.808155568309063654e-01
1.430351406361829170e-01,1.907642082530019989e-01,3.188224619450534814e-01
8.599399611145577271e-01,8.666904238366667235e-01,8.256860982499626411e-01
5.651868437513509758e-01,5.682265660025962450e-01,5.610618506317488485e-01
3.502392694113671268e-01,3.507987300824528809e-01,3.528014603690350914e-01
1.879261675722778968e-01,1.881000076629891216e-01,1.892213635012651718e-01
9.275442177575767000e-02,9.303436583783658564e-02,9.318923495204928242e-02
4.332178309959731910e-02,4.320134751085348557e-02,4.183748900038895824e-02

